" ",球队,时间,果,场,比赛,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
623,纽约尼克斯,2017-12-03,负,主,魔术105-100尼克斯,46.2%,43,93,33.3%,5,15,90.0%,9,10,45,10,35,18,4,4,14,24,100
624,纽约尼克斯,2017-12-04,负,客,步行者115-97尼克斯,44.0%,40,91,26.1%,6,23,68.8%,11,16,43,15,28,26,4,2,17,15,97
625,纽约尼克斯,2017-12-06,胜,主,灰熊88-99尼克斯,52.2%,35,67,64.3%,9,14,74.1%,20,27,42,10,32,22,8,3,16,21,99
626,纽约尼克斯,2017-12-09,负,客,公牛104-102尼克斯,47.3%,43,91,29.2%,7,24,100.0%,9,9,40,8,32,25,6,3,14,17,102
627,纽约尼克斯,2017-12-10,胜,主,老鹰107-111尼克斯,48.8%,39,80,29.4%,5,17,82.4%,28,34,33,6,27,16,9,4,12,30,111
628,纽约尼克斯,2017-12-12,胜,主,湖人109-113尼克斯,47.5%,48,101,40.9%,9,22,72.7%,8,11,49,15,34,25,7,7,14,16,113
629,纽约尼克斯,2017-12-14,胜,客,篮网104-111尼克斯,46.1%,41,89,50.0%,10,20,86.4%,19,22,40,12,28,23,11,4,13,23,111
630,纽约尼克斯,2017-12-16,胜,主,雷霆96-111尼克斯,55.1%,38,69,60.9%,14,23,80.8%,21,26,35,6,29,21,9,3,13,22,111
631,纽约尼克斯,2017-12-18,负,客,黄蜂109-91尼克斯,41.9%,36,86,16.7%,3,18,80.0%,16,20,37,10,27,21,10,5,17,16,91
632,纽约尼克斯,2017-12-21,胜,主,凯尔特93-102尼克斯,45.6%,36,79,57.1%,8,14,84.6%,22,26,49,11,38,13,8,3,17,20,102
633,纽约尼克斯,2017-12-22,负,客,活塞104-101尼克斯,45.4%,44,97,33.3%,8,24,83.3%,5,6,51,16,35,25,6,9,14,20,101
634,纽约尼克斯,2017-12-25,负,主," 76人105-98尼克斯",40.4%,38,94,26.7%,4,15,64.3%,18,28,45,18,27,18,7,5,10,21,98
635,纽约尼克斯,2017-12-27,负,客,公牛92-87尼克斯,40.7%,37,91,17.4%,4,23,69.2%,9,13,51,7,44,21,6,5,12,17,87
636,纽约尼克斯,2017-12-28,负,客,马刺119-107尼克斯,45.6%,41,90,35.7%,5,14,90.9%,20,22,44,12,32,31,6,8,9,26,107
637,纽约尼克斯,2017-12-30,胜,客,鹈鹕103-105尼克斯,43.6%,41,94,26.3%,5,19,85.7%,18,21,51,9,42,24,6,7,6,24,105
