" ",球队,时间,果,场,比赛,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1328,底特律活塞,2017-12-14,胜,客,老鹰91-105活塞,45.6%,41,90,43.3%,13,30,83.3%,10,12,46,14,32,26,10,3,15,23,105
1329,底特律活塞,2017-12-15,胜,客,步行者98-104活塞,41.9%,39,93,40.6%,13,32,76.5%,13,17,44,11,33,22,7,10,9,21,104
1330,底特律活塞,2017-12-17,胜,主,魔术110-114活塞,47.7%,42,88,50.0%,17,34,81.3%,13,16,39,7,32,27,11,3,13,17,114
1331,底特律活塞,2017-12-20,负,客,独行侠110-93活塞,42.9%,33,77,29.2%,7,24,90.9%,20,22,38,6,32,19,4,2,12,19,93
1332,底特律活塞,2017-12-22,胜,主,尼克斯101-104活塞,43.2%,38,88,40.0%,10,25,72.0%,18,25,44,15,29,19,8,5,11,11,104
1333,底特律活塞,2017-12-26,胜,主,步行者83-107活塞,50.0%,41,82,35.3%,12,34,81.3%,13,16,46,10,36,26,5,1,10,17,107
1334,底特律活塞,2017-12-28,负,客,魔术102-89活塞,39.8%,35,88,39.1%,9,23,71.4%,10,14,42,10,32,20,5,5,15,18,89
1335,底特律活塞,2017-12-30,胜,主,马刺79-93活塞,44.4%,36,81,33.3%,8,24,81.3%,13,16,45,6,39,22,10,1,11,11,93
1336,底特律活塞,2018-01-03,负,客,热火111-104活塞,47.7%,41,86,37.5%,9,24,81.3%,13,16,35,5,30,21,4,2,9,14,104
1337,底特律活塞,2018-01-05,负,客," 76人114-78活塞",38.0%,30,79,31.8%,7,22,57.9%,11,19,34,6,28,20,9,4,12,14,78
1338,底特律活塞,2018-01-06,胜,主,火箭101-108活塞,50.7%,38,75,48.0%,12,25,74.1%,20,27,35,5,30,21,8,4,11,15,108
1339,底特律活塞,2018-01-08,负,客,鹈鹕112-109活塞,44.1%,41,93,29.6%,8,27,86.4%,19,22,39,12,27,22,5,4,12,18,109
1340,底特律活塞,2018-01-10,胜,客,篮网80-114活塞,51.6%,48,93,47.6%,10,21,66.7%,8,12,54,11,43,24,10,4,13,14,114
1341,底特律活塞,2018-01-13,负,客,公牛107-105活塞,44.6%,41,92,41.4%,12,29,78.6%,11,14,45,13,32,28,8,7,12,11,105
1342,底特律活塞,2018-01-15,负,主,黄蜂118-107活塞,48.8%,42,86,51.7%,15,29,72.7%,8,11,38,3,35,27,10,5,16,24,107
1343,底特律活塞,2018-01-17,负,客,猛龙96-91活塞,42.0%,37,88,35.7%,10,28,46.7%,7,15,42,11,31,22,14,7,14,20,91
1344,底特律活塞,2018-01-19,负,主,奇才122-112活塞,50.0%,40,80,33.3%,10,30,84.6%,22,26,35,7,28,25,8,3,14,22,112
1345,底特律活塞,2018-01-21,负,主,篮网101-100活塞,42.2%,38,90,31.0%,9,29,88.2%,15,17,43,7,36,21,3,4,6,19,100
1346,底特律活塞,2018-01-24,负,主,爵士98-95活塞,39.2%,38,97,22.6%,7,31,66.7%,12,18,57,15,42,23,10,7,19,16,95
1347,底特律活塞,2018-01-27,负,主,雷霆121-108活塞,46.4%,39,84,36.4%,12,33,75.0%,18,24,43,13,30,24,4,3,16,20,108
1348,底特律活塞,2018-01-28,负,客,骑士121-104活塞,42.1%,40,95,38.9%,14,36,76.9%,10,13,43,7,36,31,5,6,6,23,104
1349,底特律活塞,2018-01-30,胜,主,骑士114-125活塞,52.7%,49,93,39.1%,9,23,64.3%,18,28,47,8,39,30,12,5,10,27,125
1350,底特律活塞,2018-02-01,胜,主,灰熊102-104活塞,46.1%,35,76,28.0%,7,25,73.0%,27,37,41,4,37,20,8,4,7,19,104
